"﻿Record#","FName","Lname","Date of Birth","Gender","Education","House#","Address1","Address2","City","Pincode","Mobile#","Company","MonthlySalary"
"1","FName1","LName1","1/1/1998","Male","BE","101","Street5","Kingpin Apts","Bangalore","560102","7893456745","Infosys","21273.83"
"2","FName2","LName2","2/1/1998","Male","B.Com","102","Street4","Shoba Lake Apts","Pune","600001","7893456752","Apple","92652.44"
"3","FName3","LName3","3/1/1998","Female","B.Sc","103","Street3","Brigade Towers","Mumbai","400001","7893456754","Microsoft","1866.85"
"4","FName4","LName4","4/1/1998","Female","BCA","104","Street2","Prestige Lake City","Hyderabad","560102","7893456761","Google","49688.96"
"5","FName5","LName5","5/1/1998","Female","MCA","105","Street1","ABC Building","Chennai","560102","7893456766","Intel","63787.35"
"6","FName6","LName6","6/1/1998","Male","MBA","106","Street3","Brigade Towers","Mumbai","400001","7893456772","Microsoft","70406.57"
"7","FName7","LName7","7/1/1998","Female","B.Tech","107","Street5","Kingpin Apts","Bangalore","560102","7893456777","Infosys","5549.37"
"8","FName8","LName8","8/1/1998","Female","M.Tech","108","Street2","Prestige Lake City","Hyderabad","560102","7893456780","Google","44228.78"
"9","FName9","LName9","9/1/1998","Male","BBA","109","Street3","Brigade Towers","Mumbai","400001","7893456789","Microsoft","70996.12"
"10","FName10","LName10","10/1/1998","Female","BE","110","Street1","ABC Building","Chennai","560102","7893456796","Intel","18701.77"
"11","FName11","LName11","11/1/1998","Male","B.Com","111","Street5","Kingpin Apts","Bangalore","560102","7893456799","Infosys","30986.88"
"12","FName12","LName12","12/1/1998","Male","B.Sc","112","Street2","Prestige Lake City","Hyderabad","560102","7893456800","Google","100923.1"
"13","FName13","LName13","13-01-1998","Female","BCA","113","Street5","Kingpin Apts","Bangalore","560102","7893456808","Infosys","9068.07"
"14","FName14","LName14","14-01-1998","Female","MCA","114","Street4","Shoba Lake Apts","Pune","600001","7893456812","Apple","56941.7"
"15","FName15","LName15","15-01-1998","Female","MBA","115","Street1","ABC Building","Chennai","560102","7893456814","Intel","80854.25"
"17","FName17","LName17","17-01-1998","Female","M.Tech","117","Street5","Kingpin Apts","Bangalore","560102","7893456821","Infosys","46677.04"
"18","FName18","LName18","18-01-1998","Female","BBA","118","Street3","Brigade Towers","Mumbai","400001","7893456827","Microsoft","63972.91"
"19","FName19","LName19","19-01-1998","Male","BE","119","Street5","Kingpin Apts","Bangalore","560102","7893456834","Infosys","41422.92"
"20","FName20","LName20","20-01-1998","Female","B.Com","120","Street1","ABC Building","Chennai","560102","7893456835","Intel","75903.87"
"21","FName21","LName21","21-01-1998","Male","B.Sc","121","Street3","Brigade Towers","Mumbai","400001","7893456842","Microsoft","41824.63"
"22","FName22","LName22","22-01-1998","Male","BCA","122","Street4","Shoba Lake Apts","Pune","600001","7893456850","Apple","74667.16"
"23","FName23","LName23","23-01-1998","Female","MCA","123","Street5","Kingpin Apts","Bangalore","560102","7893456855","Infosys","9056.33"
"24","FName24","LName24","24-01-1998","Female","MBA","124","Street2","Prestige Lake City","Hyderabad","560102","7893456857","Google","5379.37"
"25","FName25","LName25","25-01-1998","Female","B.Tech","125","Street1","ABC Building    ","Chennai","560102","7893456860","Intel","51726.89"
"27","FName27","LName27","9/1/1998","Female","BBA","127","Street3","Brigade Towers","Mumbai","400001","7893456871","Microsoft","78758.06"
"28","FName28","LName28","10/1/1998","Female","BE","128","Street2","Prestige Lake City","Hyderabad","560102","7893456880","Google","95979.9"
"29","FName29","LName29","11/1/1998","Male","B.Com","129","Street5","Kingpin Apts","Bangalore","560102","7893456882","Infosys","12158.07"
"30","FName30","LName30","12/1/1998","Female","B.Sc","130","Street1","ABC Building","Chennai","560102","7893456892","Intel","25609.73"
"31","FName31","LName31","13-01-1998","Male","BCA","131","Street5","Kingpin Apts","Bangalore","560102","7893456893","Infosys","35361.59"
"32","FName32","LName32","14-01-1998","Male","MCA","132","Street2","Prestige Lake City","Hyderabad","560102","7893456895","Google","7231.64"
"33","FName33","LName33","15-01-1998","Female","MBA","133","Street3","Brigade Towers","Mumbai","400001","7893456905","Microsoft","3691.91"
"34","FName34","LName34","16-01-1998","Female","B.Tech","134","Street4","Shoba Lake Apts","Pune","600001","7893456905","Apple","52834.9"
"35","FName35","LName35","17-01-1998","Female","M.Tech","135","Street1","ABC Building","Chennai","560102","7893456906","Intel","71779.51"
"36","FName36","LName36","18-01-1998","Male","BBA","136","Street2","Prestige Lake City","Hyderabad","560102","7893456910","Google","72343.41"
"37","FName37","LName37","19-01-1998","Female","BE","137","Street5","Kingpin Apts","Bangalore","560102","7893456919","Infosys","5500.86"
"38","FName38","LName38","20-01-1998","Female","B.Com","138","Street4","Shoba Lake Apts","Pune","600001","7893456928","Apple","43542.58"
"39","FName39","LName39","21-01-1998","Male","B.Sc","139","Street3","Brigade Towers","Mumbai","400001","7893456935","Microsoft","70565.23"
"40","FName40","LName40","22-01-1998","Female","BCA","140","Street1","ABC Building","Chennai","560102","7893456937","Intel","6185.13"
"41","FName41","LName41","23-01-1998","Male","MCA","141","Street5","Kingpin Apts","Bangalore","560102","7893456939","Infosys","43037.53"
"42","FName42","LName42","24-01-1998","Male","MBA","142","Street3","Brigade Towers","Mumbai","400001","7893456940","Microsoft","44320.46"
"43","FName43","LName43","25-01-1998","Female","B.Tech","143","Street5","Kingpin Apts","Bangalore","560102","7893456941","Infosys","36927.87"
"44","FName44","LName44","26-01-1998","Female","M.Tech","144","Street2","Prestige Lake City","Hyderabad","560102","7893456943","Google","43976.45"
"45","FName45","LName45","27-01-1998","Female","BBA","145","Street1","ABC Building","Chennai","560102","7893456944","Intel","6542.89"
"46","FName46","LName46","28-01-1998","Male","BE","146","Street4","Shoba Lake Apts","Pune","600001","7893456949","Apple","72228.15"
"47","FName47","LName47","29-01-1998","Female","B.Com","147","Street5","Kingpin Apts","Bangalore","560102","8345623457","Infosys","47085.87"
"48","FName48","LName48","30-01-1998","Female","B.Sc","148","Street2","Prestige Lake City","Hyderabad","560102","8345623461","Google","36288.89"
"49","FName49","LName49","31-01-1998","Male","BCA","149","Street5","Kingpin Apts","Bangalore","560102","8345623468","Infosys","10114.26"
"50","FName50","LName50","1/2/1998","Female","MCA","150","Street1","ABC Building","Chennai","560102","8345623476","Intel","36385.88"
"51","FName51","LName51","2/2/1998","Male","MBA","151","Street3","Brigade Towers","Mumbai","400001","8345623485","Microsoft","92755.63"
"52","FName52","LName52","3/2/1998","Male","B.Tech","152","Street2","Prestige Lake City","Hyderabad","560102","8345623494","Google","79560.21"
"53","FName53","LName53","4/2/1998","Female","M.Tech","153","Street5","Kingpin Apts","Bangalore","560102","8345623498","Infosys","39482.87"
"54","FName54","LName54","5/2/1998","Female","BBA","154","Street3","Brigade Towers","Mumbai","400001","8345623504","Microsoft","64591.66"
"55","FName55","LName55","6/2/1998","Female","BE","155","Street1","ABC Building","Chennai","560102","8345623504","Intel","76880.96"
"56","FName56","LName56","7/2/1998","Male","B.Com","156","Street2","Prestige Lake City","Hyderabad","560102","8345623505","Google","88749.35"
"57","FName57","LName57","8/2/1998","Female","B.Sc","157","Street3","Brigade Towers","Mumbai","400001","8345623506","Microsoft","20737.05"
"58","FName58","LName58","9/2/1998","Female","BCA","158","Street4","Shoba Lake Apts","Pune","600001","8345623511","Apple","61742.61"
"59","FName59","LName59","10/2/1998","Male","MCA","159","Street5","Kingpin Apts","Bangalore","560102","8345623518","Infosys","11138.96"
